batting_team,bowling_team,venue,target,current_score,wickets,overs,run_rate,req_run_rate,result
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,223,82,10,15,5.466666666666667,28.2,0
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",241,176,3,15,11.733333333333333,13.0,0
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,130,132,1,15,8.8,-0.4,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,166,126,4,15,8.4,8.0,1
Kolkata Knight Riders,Deccan Chargers,Eden Gardens,111,87,4,15,5.8,4.8,1
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,167,152,4,15,10.133333333333333,3.0,1
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",209,147,6,15,9.8,12.4,0
Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",215,176,3,15,11.733333333333333,7.8,1
Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",183,105,8,15,7.0,15.6,0
Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,136,130,3,15,8.666666666666666,1.2,1
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",148,139,1,15,9.266666666666667,1.8,1
Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",159,133,4,15,8.866666666666667,5.2,1
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,179,140,4,15,9.333333333333334,7.8,0
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,138,121,3,15,8.066666666666666,3.4,1
Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,192,140,4,15,9.333333333333334,10.4,0
Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",165,140,3,15,9.333333333333334,5.0,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,197,136,5,15,9.066666666666666,12.2,0
Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",170,147,2,15,9.8,4.6,1
Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",179,113,5,15,7.533333333333333,13.2,0
Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,157,115,2,15,7.666666666666667,8.4,0
Delhi Daredevils,Mumbai Indians,Dr DY Patil Sports Academy,163,119,5,15,7.933333333333334,8.8,0
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,110,110,2,15,7.333333333333333,0.0,1
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,127,110,4,15,7.333333333333333,3.4,1
Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",145,125,2,15,8.333333333333334,4.0,1
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,104,104,3,15,6.933333333333334,0.0,1
Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,188,148,4,15,9.866666666666667,8.0,1
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,130,124,4,15,8.266666666666667,1.2,0
Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,141,141,2,15,9.4,0.0,1
Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",182,119,6,15,7.933333333333334,12.6,0
Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",205,137,6,15,9.133333333333333,13.6,0
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,157,138,5,15,9.2,3.8,1
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",144,144,1,15,9.6,0.0,1
Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,134,101,7,15,6.733333333333333,6.6,0
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,157,158,1,15,10.533333333333333,-0.2,1
Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,195,137,4,15,9.133333333333333,11.6,0
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,198,89,8,15,5.933333333333334,21.8,0
Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",179,114,4,15,7.6,13.0,0
